,SM0,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM13,SM14,SM15,SM16,SM17,SM18,SM19,SM20,SM21,SM22,SM23,SM24,SM25,SM26,SM27,SM28,SM29,SM30,SM31,SM32,SM33,SM34,SM35,SM36,SM37,SM38,SM39,SM40,SM41,SM42,SM43,SM44,SM45,SM46,SM47,SM48,SM49,SM50,SM51,SM52,SM53,SM54,SM55,SM56,SM57,SM58,SM59,SM60,SM61,SM62,SM63,SM64,SM65,SM66,SM67,SM68,SM69,SM70,SM71,SM72,SM73,SM74,SM75,SM76,SM77,SM78,SM79,SM80,SM81,SM82,SM83,SM84,SM85,SM86,SM87,SM88,SM89,SM90,SM91,SM92,SM93,SM94,SM95,SM96,SM97,SM98,SM99,SM100,SM101,SM102,SM103,SM104,SM105,SM106,SM107,SM108,SM109,SM110,SM111,SM112,SM113,SM114,SM115,SM116,SM117,SM118,SM119,SM120,SM121,SM122,SM123,SM124,SM125,SM126,SM127,SM128,SM129,SM130,SM131
SM0,67912,66906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48431,47940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23672,23504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23635,23680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM1,66906,67911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48410,47941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23717,23498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23642,23653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM2,0,0,63468,56101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38964,38385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20941,19906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21353,20620,0,0,0,0,0,0,0,0,0,0,0,0,4059,3272,0,0,0,0,0,0,0,0,0,0,0,0,2579,2031,0,0,0,0,0,0,0,0,0,0,0,0,1843,1674,0,0,0,0,0,0,0,0,0,0,0,0,1436,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM3,0,0,56101,63470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38888,38480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21115,19956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21358,20499,0,0,0,0,0,0,0,0,0,0,0,0,3885,3170,0,0,0,0,0,0,0,0,0,0,0,0,2493,1945,0,0,0,0,0,0,0,0,0,0,0,0,1893,1686,0,0,0,0,0,0,0,0,0,0,0,0,1527,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM4,0,0,0,0,61733,56019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38276,37727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20233,19204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20261,19612,0,0,0,0,0,0,0,0,0,0,0,0,2921,2410,0,0,0,0,0,0,0,0,0,0,0,0,1986,1839,0,0,0,0,0,0,0,0,0,0,0,0,1887,1455,0,0,0,0,0,0,0,0,0,0,0,0,1479,1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM5,0,0,0,0,56019,61733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38119,37794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130,19075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20383,19748,0,0,0,0,0,0,0,0,0,0,0,0,2933,2476,0,0,0,0,0,0,0,0,0,0,0,0,2062,1839,0,0,0,0,0,0,0,0,0,0,0,0,1963,1587,0,0,0,0,0,0,0,0,0,0,0,0,1460,1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM6,0,0,0,0,0,0,62501,55481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39548,38295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21073,19998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21092,20050,0,0,0,0,0,0,0,0,0,0,0,0,3122,2703,0,0,0,0,0,0,0,0,0,0,0,0,2191,2037,0,0,0,0,0,0,0,0,0,0,0,0,1983,1718,0,0,0,0,0,0,0,0,0,0,0,0,1746,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM7,0,0,0,0,0,0,55481,62503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39720,38338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21127,20093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21040,20053,0,0,0,0,0,0,0,0,0,0,0,0,3022,2775,0,0,0,0,0,0,0,0,0,0,0,0,2082,2013,0,0,0,0,0,0,0,0,0,0,0,0,1886,1605,0,0,0,0,0,0,0,0,0,0,0,0,1750,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM8,0,0,0,0,0,0,0,0,64835,58464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41464,40864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22108,20161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21356,20758,0,0,0,0,0,0,0,0,0,0,0,0,3930,3019,0,0,0,0,0,0,0,0,0,0,0,0,2117,1864,0,0,0,0,0,0,0,0,0,0,0,0,1987,1633,0,0,0,0,0,0,0,0,0,0,0,0,1681,2113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM9,0,0,0,0,0,0,0,0,58464,64835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41530,40874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22163,20145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21329,20757,0,0,0,0,0,0,0,0,0,0,0,0,3952,3020,0,0,0,0,0,0,0,0,0,0,0,0,2119,1898,0,0,0,0,0,0,0,0,0,0,0,0,1998,1593,0,0,0,0,0,0,0,0,0,0,0,0,1608,2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
