,SM0,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM13,SM14,SM15,SM16,SM17,SM18,SM19,SM20,SM21,SM22,SM23,SM24,SM25,SM26,SM27,SM28,SM29,SM30,SM31,SM32,SM33,SM34,SM35,SM36,SM37,SM38,SM39,SM40,SM41,SM42,SM43,SM44,SM45,SM46,SM47,SM48,SM49,SM50,SM51,SM52,SM53,SM54,SM55,SM56,SM57,SM58,SM59,SM60,SM61,SM62,SM63,SM64,SM65,SM66,SM67,SM68,SM69,SM70,SM71,SM72,SM73,SM74,SM75,SM76,SM77,SM78,SM79,SM80,SM81,SM82,SM83,SM84,SM85,SM86,SM87,SM88,SM89,SM90,SM91,SM92,SM93,SM94,SM95,SM96,SM97,SM98,SM99,SM100,SM101,SM102,SM103,SM104,SM105,SM106,SM107,SM108,SM109,SM110,SM111,SM112,SM113,SM114,SM115,SM116,SM117,SM118,SM119,SM120,SM121,SM122,SM123,SM124,SM125,SM126,SM127,SM128,SM129,SM130,SM131
SM0,22395,22395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22395,22395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22395,22395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22395,22395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM1,22395,22395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22395,22395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22395,22395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22395,22395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM2,0,0,22959,18078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19766,19621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18749,18811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20240,20184,0,0,0,0,0,0,0,0,0,0,0,0,4777,3905,0,0,0,0,0,0,0,0,0,0,0,0,3056,2882,0,0,0,0,0,0,0,0,0,0,0,0,2760,2646,0,0,0,0,0,0,0,0,0,0,0,0,2541,2697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM3,0,0,18078,22947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19687,19633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18722,18752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20177,20225,0,0,0,0,0,0,0,0,0,0,0,0,4949,3870,0,0,0,0,0,0,0,0,0,0,0,0,3220,2899,0,0,0,0,0,0,0,0,0,0,0,0,2810,2625,0,0,0,0,0,0,0,0,0,0,0,0,2369,2613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM4,0,0,0,0,21866,18009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18874,18943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18074,18134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19886,19674,0,0,0,0,0,0,0,0,0,0,0,0,4183,3479,0,0,0,0,0,0,0,0,0,0,0,0,2803,2540,0,0,0,0,0,0,0,0,0,0,0,0,2484,2094,0,0,0,0,0,0,0,0,0,0,0,0,1895,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM5,0,0,0,0,18009,21878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18825,18655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17831,17878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19839,20068,0,0,0,0,0,0,0,0,0,0,0,0,4213,3660,0,0,0,0,0,0,0,0,0,0,0,0,2973,2428,0,0,0,0,0,0,0,0,0,0,0,0,2723,2301,0,0,0,0,0,0,0,0,0,0,0,0,1933,1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM6,0,0,0,0,0,0,21692,17969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18531,18597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17576,17648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19524,19405,0,0,0,0,0,0,0,0,0,0,0,0,4876,3686,0,0,0,0,0,0,0,0,0,0,0,0,2859,2479,0,0,0,0,0,0,0,0,0,0,0,0,2516,2179,0,0,0,0,0,0,0,0,0,0,0,0,1931,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM7,0,0,0,0,0,0,17969,21686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18564,18484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17519,17581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19518,19586,0,0,0,0,0,0,0,0,0,0,0,0,5030,3688,0,0,0,0,0,0,0,0,0,0,0,0,2849,2592,0,0,0,0,0,0,0,0,0,0,0,0,2485,2157,0,0,0,0,0,0,0,0,0,0,0,0,1869,1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM8,0,0,0,0,0,0,0,0,20871,17346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18325,18225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17213,17129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18648,18695,0,0,0,0,0,0,0,0,0,0,0,0,4344,3271,0,0,0,0,0,0,0,0,0,0,0,0,2677,2187,0,0,0,0,0,0,0,0,0,0,0,0,2136,1845,0,0,0,0,0,0,0,0,0,0,0,0,1722,2334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM9,0,0,0,0,0,0,0,0,17346,20871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18253,18247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17252,17184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18668,18629,0,0,0,0,0,0,0,0,0,0,0,0,4273,3219,0,0,0,0,0,0,0,0,0,0,0,0,2578,2128,0,0,0,0,0,0,0,0,0,0,0,0,2133,1876,0,0,0,0,0,0,0,0,0,0,0,0,1918,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM10,0,0,0,0,0,0,0,0,0,0,20652,16549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17469,17492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16386,16354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18063,18081,0,0,0,0,0,0,0,0,0,0,0,0,5043,4056,0,0,0,0,0,0,0,0,0,0,0,0,3127,2495,0,0,0,0,0,0,0,0,0,0,0,0,2460,2210,0,0,0,0,0,0,0,0,0,0,0,0,2117,2662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
